1786471095.227881757,1.9360,40.0,1500022656,0x0
1786471096.273716349,1.7992,41.1,1500012800,0x0
1786471097.317259422,1.8031,38.9,1500022656,0x0
1786471098.360637866,1.8084,39.5,1500019456,0x0
1786471099.403856810,1.7944,39.5,1500016128,0x0
1786471100.447097198,1.8064,40.6,1500019456,0x0
1786471101.490461383,1.7867,40.6,1500012800,0x0
1786471102.533710808,1.8062,40.6,1500019456,0x0
1786471103.577043104,1.7678,40.6,1500012800,0x0
1786471104.620306196,1.7967,41.1,1500016128,0x0
1786471105.663437621,1.7867,40.0,1500016128,0x0
1786471106.706652120,1.7958,40.0,1500022656,0x0
1786471107.749999083,1.7875,40.0,1500019456,0x0
1786471108.793234249,1.7912,40.0,1500019456,0x0
1786471109.836427415,1.7700,40.6,1500022656,0x0
1786471110.879529266,1.7649,41.7,1500012800,0x0
1786471111.922843654,1.9752,40.0,1500012800,0x0
1786471112.966049598,1.7864,40.0,1500022656,0x0
1786471114.009354375,1.7719,40.0,1500016128,0x0
1786471115.052636578,1.7746,40.0,1500019456,0x0
1786471116.095869059,1.7858,40.0,1500019456,0x0
1786471117.138982984,1.7961,39.5,1500019456,0x0
1786471118.182275836,1.8215,40.0,1500022656,0x0
1786471119.225459279,1.7956,40.0,1500019456,0x0
1786471120.268591205,1.7861,40.6,1500019456,0x0
1786471121.311735389,1.8005,39.5,1500012800,0x0
1786471122.355035852,1.7804,40.0,1500016128,0x0
1786471123.398267499,1.8177,40.0,1500019456,0x0
1786471124.441473091,1.8023,39.5,1500019456,0x0
1786471125.484688387,1.7949,40.0,1500016128,0x0
1786471126.527944127,1.7840,40.0,1500016128,0x0
1786471127.571159349,1.8038,40.0,1500019456,0x0
1786471128.614497941,3.1542,40.0,1500019456,0x0
1786471129.657797292,1.7955,40.0,1500019456,0x0
1786471130.701076402,1.7867,41.1,1500016128,0x0
1786471131.744310087,1.7761,40.0,1500022656,0x0
1786471132.787483957,1.8116,38.9,1500019456,0x0
1786471133.830901530,1.9833,40.0,1500019456,0x0
1786471134.874189492,2.0199,41.1,1500012800,0x0
1786471135.917600566,1.8072,40.0,1500016128,0x0
1786471136.960934417,1.7960,40.0,1500016128,0x0
1786471138.004242342,1.8051,40.6,1500016128,0x0
1786471139.047507971,1.8387,40.6,1500019456,0x0
1786471140.090703878,1.8006,40.0,1500019456,0x0
1786471141.133916822,1.8218,40.6,1500012800,0x0
1786471142.177190562,1.7831,41.7,1500022656,0x0
1786471143.220445710,1.8031,40.6,1500012800,0x0
1786471144.263589709,1.8129,40.6,1500019456,0x0
1786471145.306728653,1.7937,40.0,1500019456,0x0
1786471146.350024560,1.7952,40.0,1500012800,0x0
1786471147.393259263,1.7853,40.0,1500022656,0x0
1786471148.436637077,1.7976,40.6,1500022656,0x0
1786471149.479910521,1.7624,41.1,1500019456,0x0
1786471150.523124094,1.7955,40.0,1500016128,0x0
1786471151.566375705,1.7963,40.0,1500019456,0x0
1786471152.609588334,1.7949,40.0,1500022656,0x0
1786471153.652788777,1.8023,41.7,1500019456,0x0
1786471154.696043240,1.7942,41.7,1500019456,0x0
1786471155.739167147,1.7759,40.0,1500019456,0x0
1786471156.782416035,1.7854,40.6,1500016128,0x0
1786471157.825651331,1.7967,40.0,1500016128,0x0
1786471158.868916497,1.7993,39.5,1500012800,0x0
1786471159.912215996,1.7914,41.1,1500022656,0x0
1786471160.955350477,1.7836,40.0,1500022656,0x0
1786471161.998635976,1.8118,40.6,1500016128,0x0
1786471163.041861161,1.7963,40.0,1500016128,0x0
1786471164.085203864,1.7877,40.0,1500016128,0x0
1786471165.128483326,1.7955,40.6,1500022656,0x0
1786471166.171777103,1.7956,40.0,1500016128,0x0
1786471167.214971640,1.7959,40.0,1500016128,0x0
1786471168.258302287,1.7983,40.0,1500022656,0x0
1786471169.301458379,1.7971,40.0,1500016128,0x0
1786471170.344774768,1.8014,40.0,1500022656,0x0
1786471171.387942915,1.7944,40.0,1500012800,0x0
1786471172.431173896,1.7820,40.6,1500019456,0x0
1786471173.474422655,1.8100,40.0,1500016128,0x0
1786471174.517691709,1.7723,40.6,1500022656,0x0
1786471175.560911838,1.7885,41.1,1500016128,0x0
1786471176.604172079,1.7787,40.6,1500016128,0x0
