1786842604.440081451,1.8952,46.1,1700021120,0x0
1786842605.486096366,2.2138,47.2,1500022656,0x0
1786842606.529532747,1.7181,47.2,1500016128,0x0
1786842607.572922776,1.7072,47.7,1500016128,0x0
1786842608.616350361,1.7415,47.7,1500016128,0x0
1786842609.659642019,1.4435,46.6,1500016128,0x0
1786842610.702829808,1.5326,47.2,1500016128,0x0
1786842611.746037241,1.4481,47.2,1500022656,0x0
1786842612.789280898,1.4381,47.2,1500019456,0x0
1786842613.832731163,1.4607,47.2,1500019456,0x0
1786842614.875930911,1.4512,45.5,1500012800,0x0
1786842615.919183658,1.4429,47.7,1500019456,0x0
1786842616.962443254,1.4529,47.2,1500016128,0x0
1786842618.005554241,1.4905,47.7,1500012800,0x0
1786842619.048651802,1.4520,45.5,1500012800,0x0
1786842620.091869139,1.4540,47.7,1500016128,0x0
1786842621.135053326,1.4538,46.1,1500019456,0x0
1786842622.178299828,1.4605,48.3,1500016128,0x0
1786842623.221449514,1.4608,48.3,1500022656,0x0
1786842624.264642441,1.4527,46.6,1500016128,0x0
1786842625.307841217,1.4775,46.6,1500022656,0x0
1786842626.351005994,1.4589,47.2,1500022656,0x0
1786842627.394243048,1.4800,46.6,1500019456,0x0
1786842628.437393212,1.4552,47.7,1500019456,0x0
1786842629.480562950,1.5138,46.1,1500022656,0x0
1786842630.523722502,1.7360,47.2,1500022656,0x0
1786842631.566865683,1.7178,47.7,1500012800,0x0
1786842632.710891875,1.4576,46.1,1500019456,0x0
1786842633.754058536,1.4614,47.7,1500019456,0x0
1786842634.797251622,1.5022,45.5,1500012800,0x0
1786842635.840620483,1.6591,47.7,1500012800,0x0
1786842636.883861399,1.4753,46.6,1500022656,0x0
1786842637.927141574,1.4609,46.6,1500022656,0x0
1786842638.970491341,1.4939,46.6,1500019456,0x0
1786842640.013637830,1.4602,47.2,1500016128,0x0
1786842641.056945076,1.4708,47.2,1500019456,0x0
1786842642.100253268,1.6474,46.6,1500019456,0x0
1786842643.143423810,1.7026,46.6,1500022656,0x0
1786842644.186689610,1.4872,47.2,1500016128,0x0
1786842645.229889522,1.4878,46.6,1500016128,0x0
1786842646.273021766,1.4660,46.1,1500019456,0x0
1786842647.316217306,1.7065,46.6,1500016128,0x0
1786842648.359477364,1.7172,46.6,1500019456,0x0
1786842649.402645902,1.4522,48.8,1500016128,0x0
1786842650.445809347,1.4583,46.6,1500016128,0x0
1786842651.488986884,1.4736,47.2,1500016128,0x0
1786842652.532241068,2.0913,46.6,1500016128,0x0
1786842653.575389178,1.7108,46.6,1500019456,0x0
1786842654.618559156,1.4363,47.2,1500016128,0x0
1786842655.661699599,1.6125,46.6,1500016128,0x0
1786842656.704931299,1.4639,47.7,1500022656,0x0
1786842657.748035629,3.1137,47.2,1500022656,0x0
1786842658.791085180,1.6889,47.2,1500012800,0x0
1786842659.834134656,1.4347,47.2,1500016128,0x0
1786842660.877181466,1.4390,47.2,1500022656,0x0
1786842661.920285127,1.8843,46.6,1500019456,0x0
1786842662.963373675,1.7131,45.5,1500012800,0x0
1786842664.006441427,1.4499,46.6,1500016128,0x0
1786842665.049474549,1.4596,46.6,1500019456,0x0
1786842666.092572762,1.4496,47.2,1500016128,0x0
1786842667.135667493,1.4550,46.6,1500019456,0x0
