1786843183,13.957177286508399,58.7,0x0
1786843198,13.99762810191813,59.3,0x0
1786843212,14.02118952266613,59.8,0x0
1786843227,14.008557968148322,59.8,0x0
1786843241,14.023489063711935,60.4,0x0
1786843255,14.024360313865184,59.3,0x0
1786843270,14.021410694129937,59.8,0x0
1786843284,14.02025969586832,59.8,0x0
1786843298,14.017718536407205,60.4,0x0
1786843313,14.019130505487789,59.8,0x0
1786843327,14.023420233663838,61.5,0x0
1786843341,14.019265133954429,59.8,0x0
1786843356,14.016550462455058,59.8,0x0
1786843370,14.023087892367753,59.8,0x0
1786843385,14.015900197820416,58.2,0x0
1786843399,14.018764958022208,59.8,0x0
1786843413,14.017501411211954,59.3,0x0
1786843428,14.015109549454172,59.8,0x0
1786843442,14.027194100386598,60.9,0x0
1786843456,14.001369473948246,59.8,0x0
1786843471,14.025834605534973,58.7,0x0
1786843485,14.010311589329746,59.8,0x0
1786843499,14.01401555709881,60.4,0x0
1786843514,14.026354959915482,58.2,0x0
1786843528,14.017337343693548,59.8,0x0
1786843542,14.022340673608005,58.7,0x0
1786843557,14.02266708042883,59.8,0x0
1786843571,14.0164139215228,60.9,0x0
1786843586,14.026702212200298,60.4,0x0
1786843600,14.017629131100437,60.9,0x0
1786843614,14.01766450009644,59.8,0x0
1786843629,14.017642885688787,59.8,0x0
1786843643,14.024446854779377,59.8,0x0
1786843657,14.010336125476572,60.4,0x0
1786843672,14.012429866036967,59.8,0x0
1786843686,14.0117279564168,58.7,0x0
1786843700,14.020602714865385,58.7,0x0
1786843715,14.020650876469443,59.8,0x0
1786843729,14.022106692527172,59.8,0x0
1786843744,14.014444688140065,60.4,0x0
1786843758,14.002157592463421,59.3,0x0
1786843772,14.015556426700252,59.3,0x0
1786843787,14.017907175521369,59.8,0x0
1786843801,14.020806175323871,60.4,0x0
1786843815,14.021709532434878,60.4,0x0
1786843830,14.008756173045963,59.8,0x0
1786843844,14.023252094530461,60.4,0x0
1786843858,14.016697811769205,59.8,0x0
1786843873,14.016504293640718,58.7,0x0
1786843887,14.021215079900944,60.9,0x0
1786843901,14.015193029852083,59.8,0x0
1786843916,14.01759474474766,59.8,0x0
